Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stat01.csv,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 1. Estimated number of local jail inmates in custody on an average day, by inmate characteristics, 2000–2019",,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–2018; Census of Jails, 2019; Mortality in Correctional Institutions, 2000–2019; National Inmate Survey, 2007–2009 and 2011–2012; and Survey of Inmates in Local Jails, 2002",,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 1. Estimated number of local jail inmates in custody on an average day, by inmate characteristics, 2000–2019",,,,,,,,,,,,,,,,,,,,,,
Characteristic,,"Total, 2000–2019",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Total,"14,376,500","597,900","638,200","667,700","687,600","715,200","741,600","771,500","781,700","778,700","747,900","732,000","720,900","745,200","712,700","729,400","712,100","717,700","729,100","730,900","718,500"
Sex,,,,,,,,,,,,,,,,,,,,,,
,Male,"12,475,500","529,700","564,200","590,300","605,900","627,200","647,400","672,000","680,800","679,800","656,700","640,200","629,900","645,800","613,800","625,600","609,000","611,000","618,500","619,400","608,400"
,Female,"1,901,000","68,200","74,000","77,500","81,700","88,000","94,200","99,500","100,800","98,900","91,200","91,800","91,000","99,400","98,900","103,800","103,100","106,700","110,600","111,500","110,100"
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,
,White/a,"5,178,400","215,200","229,700","240,300","247,000","256,500","265,600","275,800","279,000","276,500","264,200","255,500","248,600","253,900","247,900","263,000","263,500","262,700","278,300","277,000","278,200"
,Black/a,"5,016,500","239,800","256,000","267,800","271,200","277,400","282,700","289,000","287,700","284,400","271,100","258,300","247,400","248,500","210,800","229,400","223,100","219,100","219,400","212,400","221,000"
,Hispanic,"2,896,000","110,600","118,100","123,500","127,100","132,100","136,900","142,300","144,000","151,900","154,000","154,600","156,100","165,300","158,500","155,300","146,700","156,500","153,500","154,700","154,300"
,American Indian/Alaska Native/a,"211,200","7,800","8,300","8,700","8,900","9,300","9,600","10,000","10,200","10,200","9,900","10,600","11,200","12,500","11,300","13,400","11,400","11,200","11,200","12,300","13,200"
,"Asian/a,b","143,600","6,600","7,000","7,300","7,500","7,800","8,000","8,300","8,400","7,700","6,800","6,800","6,700","7,100","7,000","7,200","7,000","6,900","6,500","6,500","6,500"
,"Other/a,c","930,700","17,900","19,100","20,000","25,700","32,100","38,800","46,000","52,500","47,900","41,800","46,300","50,900","58,000","77,200","61,000","60,400","61,300","60,300","68,100","45,400"
Age,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,"114,800","7,300","7,700","7,300","6,800","7,200","6,700","6,100","6,800","7,600","7,000","7,400","5,800","5,400","4,500","4,100","3,500","3,800","3,500","3,400","2,800"
,18–24,"3,838,800","169,300","180,700","189,300","192,900","198,400","203,500","209,500","209,600","210,500","204,000","195,300","188,600","190,900","182,700","187,100","182,800","184,200","187,200","187,700","184,600"
,25–34,"4,771,400","191,700","204,700","214,400","220,100","227,900","235,500","244,300","246,200","249,300","243,500","242,900","244,300","257,500","246,500","252,500","246,600","248,500","252,600","253,300","249,100"
,35–44,"3,276,700","156,200","166,800","174,700","176,900","180,600","183,900","187,900","186,600","178,800","165,200","158,300","153,000","155,000","148,400","152,000","148,500","149,600","152,000","152,400","150,000"
,45–54,"1,877,900","60,200","64,300","67,300","74,400","82,500","91,100","100,500","107,400","105,900","100,900","100,300","100,500","105,600","101,100","103,500","101,100","101,900","103,600","103,900","102,200"
,55 or older,"496,800","13,200","14,100","14,800","16,600","18,600","20,800","23,100","25,000","26,700","27,400","27,900","28,700","30,800","29,500","30,200","29,500","29,700","30,200","30,300","29,800"
Legal status,,,,,,,,,,,,,,,,,,,,,,
,Convicted/d,"5,465,500","263,100","264,900","267,100","270,900","283,900","281,800","292,400","297,000","288,900","282,700","284,800","284,000","293,600","271,500","271,400","267,300","250,500","257,500","246,000","246,200"
