Bureau of Justice Statistics,,
Filename: mlj0019stf03.csv,,
"Figure 3. Adjusted mortality rate per 100,000 U.S. residents, by cause of death, 2019",,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2011–2018, Census of Local Jails, 2019, Mortality in Correctional Institutions, 2019, National Inmate Survey, 2007–2009 and 2011–2012, and Survey of Inmates in Local Jails, 2002; and Centers for Disease Control and Prevention, National Center for Health Statistics, CDC WONDER online database, Underlying Cause of Death 2019 (released in 2020)",,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 12/1/2021,,
,,
"Figure 3. Adjusted mortality rate per 100,000 U.S. residents, by cause of death, 2019",,
,Mortality rate,
,Adult U.S. residents/a,Jail inmates/b
Suicide,22,48
Drug/alcohol intoxication,41,25
Accident/c,9,3
Homicide/d,4,3
"Note: Excludes persons age 17 or younger and federal prisoners. U.S. resident mortality rate is per 100,000 adult U.S. residents and is based on death certificates from all U.S. residents in 2019. Inmate mortality rate is per 100,000 inmates held in the custody of local jails and is based on the annual number of deaths and average daily population. See table 4 for crude and adjusted rates.",,
"a/To allow for direct comparisons of mortality rates, BJS adjusted the U.S. resident population to resemble the sex, race or ethnicity, and age distribution of the local jail population. See Methodology.",,
"b/Inmate mortality rates in figure 3 and table 4 were adjusted for sex, race or ethnicity, and age differences to be comparable to U.S. resident rates and may differ from other rates in the report. See Methodology.",,
c/Excludes causes of death that are unlikely to occur in a jail setting from the rates of both U.S. residents and jail inmates. See Methodology.,,
"d/Includes homicides committed by other inmates, incidental to the use of force by staff, and resulting from injuries sustained prior to incarceration.",,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2011–2018, Census of Local Jails, 2019, Mortality in Correctional Institutions, 2019, National Inmate Survey, 2007–2009 and 2011–2012, and Survey of Inmates in Local Jails, 2002; and Centers for Disease Control and Prevention, National Center for Health Statistics, CDC WONDER online database, Underlying Cause of Death 2019 (released in 2020).",,
