Bureau of Justice Statistics,,
Filename: mlj0019stf05.csv,,
"Figure 5. Average annual mortality rate per 100,000 local jail inmates, by cause of death and race or ethnicity, 2000–19",,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–18; Census of Jails, 2019; Mortality in Correctional Institutions, 2000–19; National Inmate Survey, 2007–09 and 2011–12; and Survey of Inmates in Local Jails, 2002",,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 12/1/2021,,
,,
"Figure 5. Average annual mortality rate per 100,000 local jail inmates, by cause of death and race or ethnicity, 2000–19",,
,Mortality rate,
Race or ethnicity,Heart disease,Suicide
White/a,45,86
Black/a,39,16
Hispanic,15,25
American Indian/Alaska Native/a,22,57
"Asian/a,b",27,52
"Note: Mortality rates for 2001–2019 are based on the annual number of deaths and the average daily population (ADP). In 2000, the ADP was estimated by taking the average of January 1 and December 31 inmate population counts. Data may have been revised from previously published statistics. See Methodology. See table 10 for rates.",,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,
"b/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–18; Census of Jails, 2019; Mortality in Correctional Institutions, 2000–19; National Inmate Survey, 2007–09 and 2011–12; and Survey of Inmates in Local Jails, 2002.",,
