Bureau of Justice Statistics,,,,
Filename: mlj0019stf06.csv,,,,
"Figure 6. Percent of local jails reporting one or more deaths, by number of deaths, 2000–2019",,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019",,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 12/1/2021,,,,
,,,,
"Figure 6. Percent of local jails reporting one or more deaths, by number of deaths, 2000–2019",,,,
,Percent of jails,,,
,1 death,,2 or more deaths,
2000,9.7,%,4.9,%
2001,11.1,,5.2,
2002,11.2,,5.2,
2003,11.9,,5.5,
2004,12.6,,5.2,
2005,12.5,,5.5,
2006,12.8,,6,
2007,12.3,,6.5,
2008,12.2,,5.5,
2009,12.1,,6.2,
2010,12.4,,5.8,
2011,12.8,,6.2,
2012,13.3,,5.9,
2012,13.8,,6.4,
2014,14.3,,6.5,
2015,14.3,,6.9,
2016,13.5,,7.1,
2017,13.4,,7.2,
2018,13.8,,8,
2019,14.9,,8,
Note: Data may have been revised from previously published statistics. Includes all local jails that reported data on populations or deaths. See Methodology. See table 17 for percentages.,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019.",,,,
