Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stt03.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Mortality rate per 100,000 local jail inmates, by cause of death, 2000–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Mortality rate per 100,000 local jail inmates, by cause of death, 2000–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cause of death,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008/a,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
,All causes,151,,148,,145,,146,,143,,141,,142,,141,,123,,128,,125,,123,,129,,138,,144,,154,,150,,151,,156,,167,
Illness,,86,,76,,76,,74,,74,,68,,78,,78,,57,,66,,65,,59,,71,,68,,69,,73,,75,,72,,71,,77,
,Heart disease,33,,34,,33,,35,,32,,27,,32,,30,,23,,28,,33,,33,,36,,36,,33,,36,,42,,39,,40,,41,
,AIDS-related/b,10,,9,,8,,8,,7,,5,,7,,6,,4,,4,,4,,2,,3,,3,,2,,1,,2,,2,,1, !,1, !
,Cancer,5,,4,,6,,5,,4,,5,,5,,5,,3,,6,,5,,4,,6,,6,,5,,6,,7,,6,,5,,6,
,Respiratory disease,5,,3,,3,,3,,5,,3,,3,,6,,4,,4,,2,,3,,4,,4,,6,,5,,4,,5,,5,,4,
,Liver disease,4,,4,,4,,4,,4,,4,,3,,5,,4,,4,,3,,2,,4,,3,,4,,3,,3,,2,,1, !,3,
,All other illnesses/c,29,,22,,22,,19,,22,,23,,28,,26,,18,,20,,18,,16,,19,,16,,19,,22,,19,,19,,19,,22,
Suicide,,48,,49,,47,,43,,42,,39,,36,,36,,29,,41,,42,,43,,40,,46,,50,,52,,47,,43,,46,,49,
Drug/alcohol intoxication,,6,,9,,8,,13,,11,,11,,11,,10,,6,,9,,7,,10,,8,,10,,13,,13,,16,,21,,25,,26,
Accident,,4,,6,,5,,4,,5,,3,,4,,2,,2,,3,,3,,4,,2,,4,,3,,4,,3,,3,,4,,3,
Homicide/d,,3,,3,,3,,2,,3,,3,,5,,3,,2,,3,,3,,3,,3,,4,,3,,4,,4,,4,,4,,3,
Other/unknown,,3,,4,,5,,8,,7,,15,,7,,9,,1, !,3,,2,,3,,3,,3,,3,,5,,3,,4,,4,,3,
Missing,,1, !,1, !,1, !,1,,1, !,3,,1, !,3,,26,,4,,4,,1,,1, !,4,,2,,4,,3,,5,,2,,5,
"Note: Data may have been revised from previously published statistics. Mortality rates are per 100,000 inmates held in the custody of local jails. Mortality rates for 2001–2019 are based on the annual number of deaths and the average daily population (ADP). In 2000, the ADP was estimated by taking the average of January 1 and December 31 inmate population counts. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
! Interpret with caution. Estimate is based on 10 or fewer cases. See Interpreting rates among small populations in Methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/In 2008, a high number of illness cases were missing cause of death information and were classified as missing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes homicides committed by other inmates, incidental to the use of force by staff, and resulting from assaults sustained prior to incarceration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
