Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stt05.csv,,,,,,,,,,,,,,,,,,,,,
"Table 5. Number of deaths of local jail inmates, by decedent characteristics, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 5. Number of deaths of local jail inmates, by decedent characteristics, 2000–2019",,,,,,,,,,,,,,,,,,,,,
Characteristic,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Total,903,942,969,"1,001","1,021","1,045","1,094","1,099",959,961,918,888,960,987,"1,053","1,096","1,076","1,103","1,138","1,200"
Sex,,,,,,,,,,,,,,,,,,,,,
,Male,813,847,862,866,893,925,964,969,840,852,804,778,838,860,901,940,921,936,957,"1,030"
,Female,90,91,107,133,128,120,130,130,119,109,114,110,122,127,152,154,155,166,181,170
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,
,White/a,452,514,534,538,500,559,528,547,512,534,516,525,556,524,623,656,626,654,669,712
,Black/a,305,283,304,322,359,331,408,398,310,274,265,234,270,278,273,256,265,272,279,300
,Hispanic,118,115,113,118,135,116,126,125,107,109,90,105,100,145,118,141,137,131,150,138
,American Indian/Alaska Native/a,9,13,5,10,13,14,17,12,11,22,11,6,13,12,13,14,18,15,15,16
,"Asian/a,b",6,7,5,6,10,7,10,13,13,9,7,10,10,8,12,11,15,9,11,13
,"Other/a,c",2,0,0,0,1,1,0,2,3,1,5,3,2,2,7,1,2,2,3,4
Age,,,,,,,,,,,,,,,,,,,,,
,17 or younger,8,8,7,5,7,5,4,4,3,3,3,2,2,3,2,2,2,3,0,3
,18–24,89,107,100,102,105,107,103,101,86,87,80,81,83,75,87,80,79,82,69,62
,25–34,184,193,186,211,210,192,196,199,167,175,187,206,190,216,230,251,243,259,241,288
,35–44,264,280,336,283,300,284,312,291,246,235,201,198,198,213,231,230,218,237,285,299
,45–54,239,239,236,266,263,275,303,322,275,259,253,227,273,259,263,269,262,243,230,219
,55 or older,115,111,102,128,131,168,168,182,178,193,172,171,209,202,233,247,258,260,304,310
Legal status,,,,,,,,,,,,,,,,,,,,,
,Convicted/d,258,252,244,255,226,231,238,246,201,247,232,221,256,229,258,266,256,269,285,276
,Unconvicted/e,627,683,717,738,786,798,846,849,753,694,664,662,698,740,788,814,803,811,840,908
Time served,,,,,,,,,,,,,,,,,,,,,
,7 days or less,328,349,360,397,399,385,382,392,349,365,345,346,350,391,425,444,431,441,458,471
,8–30,167,173,168,176,179,188,205,184,164,167,176,172,200,163,218,209,188,209,229,236
,31–60,111,105,100,94,115,112,126,137,106,99,91,97,100,87,107,112,107,104,88,114
,61–120,115,124,121,120,111,128,148,147,122,118,92,90,115,124,96,112,117,113,121,118
,121–180,56,63,73,73,76,69,80,81,68,51,58,55,58,45,51,59,68,67,63,58
,181 or more,119,113,134,124,124,127,123,152,128,145,133,125,132,157,145,143,150,148,170,187
Offense,,,,,,,,,,,,,,,,,,,,,
,Violent,355,313,357,313,337,357,356,366,301,348,341,349,350,346,386,376,371,410,410,476
,Property,168,178,203,221,189,224,210,193,185,180,170,152,185,196,202,226,210,217,217,207
,Drug,146,151,152,171,188,174,198,198,165,130,122,113,151,132,161,176,167,148,180,183
,Public order/other/f,208,263,225,262,277,240,266,286,241,243,224,234,236,253,272,265,268,266,292,267
Note: Data may have been revised from previously published statistics. Details may not sum to totals due to missing data. See Methodology.,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,
c/Includes persons of two or more races and other races.,,,,,,,,,,,,,,,,,,,,,
d/Includes persons who returned to jail on a probation or parole violation.,,,,,,,,,,,,,,,,,,,,,
e/Includes persons in jail whose status was marked as other or was unspecified.,,,,,,,,,,,,,,,,,,,,,
"f/Public order offenses include weapons offenses, DUI/DWI, court offenses, commercialized vice, and morals and decency offenses. Other offenses include holds and holds for other jurisdictions and probation and parole violations.",,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019.",,,,,,,,,,,,,,,,,,,,,
