Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stt06.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Percent of deaths of local jail inmates, by decedent characteristics, 2000–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Percent of deaths of local jail inmates, by decedent characteristics, 2000–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
,Total,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,90,%,90.3,%,89,%,86.7,%,87.5,%,88.5,%,88.1,%,88.2,%,87.6,%,88.7,%,87.6,%,87.6,%,87.3,%,87.1,%,85.6,%,85.9,%,85.6,%,84.9,%,84.1,%,85.8,%
,Female,10,,9.7,,11,,13.3,,12.5,,11.5,,11.9,,11.8,,12.4,,11.3,,12.4,,12.4,,12.7,,12.9,,14.4,,14.1,,14.4,,15.1,,15.9,,14.2,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White/a,50.7,%,55.2,%,55.6,%,54.1,%,49.1,%,54.4,%,48.5,%,49.9,%,53.6,%,56.3,%,57.7,%,59.5,%,58.5,%,54.1,%,59.6,%,60.8,%,58.9,%,60.4,%,59.4,%,60.2,%
,Black/a,34.2,,30.4,,31.6,,32.4,,35.3,,32.2,,37.5,,36.3,,32.4,,28.9,,29.6,,26.5,,28.4,,28.7,,26.1,,23.7,,24.9,,25.1,,24.8,,25.4,
,Hispanic,13.2,,12.3,,11.8,,11.9,,13.3,,11.3,,11.6,,11.4,,11.2,,11.5,,10.1,,11.9,,10.5,,15,,11.3,,13.1,,12.9,,12.1,,13.3,,11.7,
,American Indian/Alaska Native/a,1,,1.4,,0.5,,1,,1.3,,1.4,,1.6,,1.1,,1.2,,2.3,,1.2,,0.7,,1.4,,1.2,,1.2,,1.3,,1.7,,1.4,,1.3,,1.4,
,"Asian/a,b",0.7,,0.8,,0.5,,0.6,,1,,0.7,,0.9,,1.2,,1.4,,0.9,,0.8,,1.1,,1,,0.8,,1.1,,1,,1.4,,0.8,,1,,1.1,
,"Other/a,c",0.2,,0,,0,,0,,0.1,,0.1,,0,,0.2,,0.3,,0.1,,0.6,,0.3,,0.2,,0.2,,0.7,,0.1,,0.2,,0.2,,0.3,,0.3,
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,0.9,%,0.9,%,0.7,%,0.5,%,0.7,%,0.5,%,0.4,%,0.4,%,0.3,%,0.3,%,0.3,%,0.2,%,0.2,%,0.3,%,0.2,%,0.2,%,0.2,%,0.3,%,0,%,0.3,%
,18–24,9.9,,11.4,,10.3,,10.3,,10.3,,10.4,,9.5,,9.2,,9,,9.1,,8.9,,9.2,,8.7,,7.7,,8.3,,7.4,,7.4,,7.6,,6.1,,5.2,
,25–34,20.5,,20.6,,19.2,,21.2,,20.7,,18.6,,18,,18.1,,17.5,,18.4,,20.9,,23.3,,19.9,,22.3,,22,,23.3,,22.9,,23.9,,21.3,,24.4,
,35–44,29.4,,29.9,,34.7,,28.4,,29.5,,27.5,,28.7,,26.5,,25.8,,24.7,,22.4,,22.4,,20.7,,22,,22.1,,21.3,,20.5,,21.9,,25.2,,25.3,
,45–54,26.6,,25.5,,24.4,,26.7,,25.9,,26.7,,27.9,,29.3,,28.8,,27.2,,28.2,,25.6,,28.6,,26.8,,25.1,,24.9,,24.7,,22.4,,20.4,,18.5,
,55 or older,12.8,,11.8,,10.5,,12.9,,12.9,,16.3,,15.5,,16.6,,18.6,,20.3,,19.2,,19.3,,21.9,,20.9,,22.3,,22.9,,24.3,,24,,26.9,,26.2,
Legal status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Convicted/d,29.2,%,27,%,25.4,%,25.7,%,22.3,%,22.4,%,22,%,22.5,%,21.1,%,26.2,%,25.9,%,25,%,26.8,%,23.6,%,24.7,%,24.6,%,24.2,%,24.9,%,25.3,%,23.3,%
,Unconvicted/e,70.8,,73,,74.6,,74.3,,77.7,,77.6,,78,,77.5,,78.9,,73.8,,74.1,,75,,73.2,,76.4,,75.3,,75.4,,75.8,,75.1,,74.7,,76.7,
Time served,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7 days or less,36.6,%,37.6,%,37.7,%,40.3,%,39.7,%,38.2,%,35.9,%,35.9,%,37.2,%,38.6,%,38.5,%,39.1,%,36.6,%,40.4,%,40.8,%,41.1,%,40.6,%,40.8,%,40.6,%,39.8,%
,8–30,18.6,,18.7,,17.6,,17.9,,17.8,,18.6,,19.3,,16.8,,17.5,,17.7,,19.7,,19.4,,20.9,,16.9,,20.9,,19.4,,17.7,,19.3,,20.3,,19.9,
,31–60,12.4,,11.3,,10.5,,9.6,,11.5,,11.1,,11.8,,12.5,,11.3,,10.5,,10.2,,11,,10.5,,9,,10.3,,10.4,,10.1,,9.6,,7.8,,9.6,
,61–120,12.8,,13.4,,12.7,,12.2,,11.1,,12.7,,13.9,,13.4,,13,,12.5,,10.3,,10.2,,12,,12.8,,9.2,,10.4,,11,,10.4,,10.7,,10,
,121–180,6.3,,6.8,,7.6,,7.4,,7.6,,6.8,,7.5,,7.4,,7.3,,5.4,,6.5,,6.2,,6.1,,4.7,,4.9,,5.5,,6.4,,6.2,,5.6,,4.9,
,181 or more,13.3,,12.2,,14,,12.6,,12.4,,12.6,,11.6,,13.9,,13.7,,15.3,,14.9,,14.1,,13.8,,16.2,,13.9,,13.3,,14.1,,13.7,,15.1,,15.8,
Offense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Violent,40.5,%,34.6,%,38.1,%,32.4,%,34,%,35.9,%,34.6,%,35.1,%,33.7,%,38.6,%,39.8,%,41.2,%,38,%,37.3,%,37.8,%,36,%,36.5,%,39.4,%,37.3,%,42,%
,Property,19.2,,19.7,,21.7,,22.9,,19.1,,22.5,,20.4,,18.5,,20.7,,20,,19.8,,17.9,,20.1,,21.1,,19.8,,21.7,,20.7,,20.8,,19.7,,18.3,
,Drug,16.6,,16.7,,16.2,,17.7,,19,,17.5,,19.2,,19,,18.5,,14.4,,14.2,,13.3,,16.4,,14.2,,15.8,,16.9,,16.4,,14.2,,16.4,,16.2,
,Public order/other/f,23.7,,29.1,,24,,27.1,,28,,24.1,,25.8,,27.4,,27,,27,,26.1,,27.6,,25.6,,27.3,,26.6,,25.4,,26.4,,25.6,,26.6,,23.6,
Note: Data may have been revised from previously published statistics. Percentages are based on nonmissing data. Details may not sum to totals due to rounding. See Methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes persons of two or more races and other races.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes persons who returned to jail on a probation or parole violation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e/Includes persons in jail whose status was marked as other or was unspecified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f/Public order offenses include weapons offenses, DUI/DWI, court offenses, commercialized vice, and morals and decency offenses. Other offenses include holds and holds for other jurisdictions and probation and parole violations. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
