Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stt07.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7. Mortality rate per 100,000 local jail inmates within each demographic group, by decedent characteristics, 2000–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–2018; Census of Jails, 2019; Mortality in Correctional Institutions, 2000–2019; National Inmate Survey, 2007–2009 and 2011–2012; and Survey of Inmates in Local Jails, 2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7. Mortality rate per 100,000 local jail inmates within each demographic group, by decedent characteristics, 2000–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
,Total,151,,148,,145,,146,,143,,141,,142,,141,,123,,128,,125,,123,,129,,138,,144,,154,,150,,151,,156,,167,
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,153,,150,,146,,143,,142,,143,,143,,142,,124,,130,,126,,124,,130,,140,,144,,154,,151,,151,,155,,169,
,Female,132,,123,,138,,163,,146,,127,,131,,129,,120,,119,,124,,121,,123,,128,,146,,149,,145,,150,,162,,154,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White/a,210,,224,,222,,218,,195,,210,,191,,196,,185,,202,,202,,211,,219,,211,,237,,249,,238,,235,,242,,256,
,Black/a,127,,111,,114,,119,,129,,117,,141,,138,,109,,101,,103,,95,,109,,132,,119,,115,,121,,124,,131,,136,
,Hispanic,107,,97,,91,,93,,102,,85,,89,,87,,70,,71,,58,,67,,60,,91,,76,,96,,88,,85,,97,,89,
,American Indian/Alaska Native/a,115, !,157,,57, !,112,,140,,146,,170,,118,,108,,222,,104,,54, !,104,,106,,97,,123,,161,,134,,122,,121,
,"Asian/a,b",91, !,100, !,68, !,80, !,128,,88, !,120,,155,,169,,132, !,103, !,149,,141,,114, !,167,,157,,217,,138, !,169,,200,
,"Other/a,c",11, !,0,,0,,0,,3, !,3, !,0,,4, !,6, !,2, !,11, !,6, !,3, !,3, !,11, !,2, !,3, !,3, !,4, !,9, !
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,109, !,104, !,96, !,73, !,98, !,75, !,65, !,58, !,39, !,43, !,41, !,35, !,37, !,67, !,49, !,57, !,53, !,85, !,0,,107, !
,18–24,53,,59,,53,,53,,53,,53,,49,,48,,41,,43,,41,,43,,43,,41,,46,,44,,43,,44,,37,,34,
,25–34,96,,94,,87,,96,,92,,82,,80,,81,,67,,72,,77,,84,,74,,88,,91,,102,,98,,103,,95,,116,
,35–44,169,,168,,192,,160,,166,,154,,166,,156,,138,,142,,127,,129,,128,,144,,152,,155,,146,,156,,187,,199,
,45–54,397,,372,,351,,358,,319,,302,,302,,300,,260,,257,,252,,226,,259,,256,,254,,266,,257,,235,,221,,214,
,55 or older,871,,788,,691,,773,,704,,809,,726,,729,,668,,705,,616,,597,,678,,685,,771,,837,,868,,860,,"1,003",,"1,040",
Legal status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Convicted/d,98,,95,,91,,94,,80,,82,,81,,83,,70,,87,,81,,78,,87,,84,,95,,100,,102,,104,,116,,112,
,Unconvicted/e,187,,183,,179,,177,,182,,174,,177,,175,,154,,149,,148,,152,,155,,168,,172,,183,,172,,172,,173,,192,
Offense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Violent,233,,193,,210,,182,,193,,201,,196,,203,,171,,211,,210,,216,,209,,216,,235,,235,,230,,250,,249,,294,
,Property,115,,114,,125,,132,,109,,126,,114,,104,,100,,102,,96,,86,,99,,109,,110,,126,,116,,118,,118,,115,
,Drug,99,,96,,92,,100,,106,,94,,103,,101,,85,,69,,68,,65,,87,,79,,94,,106,,99,,87,,105,,109,
,Public order/other/f,136,,162,,132,,146,,146,,120,,125,,130,,108,,111,,105,,112,,109,,123,,129,,129,,129,,126,,138,,128,
"Note: Data may have been revised from previously published statistics. Mortality rates are per 100,000 inmates held in the custody of local jails. Mortality rates for 2001–2019 are based on the annual number of deaths and the average daily population (ADP). In 2000, the ADP was estimated by taking the average of January 1 and December 31 inmate population counts. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
! Interpret with caution. Estimate is based on 10 or fewer cases. See Interpreting rates among small populations in Methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes persons of two or more races and other races.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes persons who returned to jail on a probation or parole violation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e/Includes persons in jail whose status was marked as other or was unspecified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f/Public order offenses include weapons offenses, DUI/DWI, court offenses, commercialized vice, and morals and decency offenses. Other offenses include holds and holds for other jurisdictions and probation and parole violations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–2018; Census of Jails, 2019; Mortality in Correctional Institutions, 2000–2019; National Inmate Survey, 2007–2009 and 2011–2012; and Survey of Inmates in Local Jails, 2002.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
