Bureau of Justice Statistics,,,,,,,,,,,,
Filename: mlj0019stt09.csv,,,,,,,,,,,,
"Table 9. Number of deaths of local jail inmates, by cause of death and decedent characteristics, 2000–19",,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 9. Number of deaths of local jail inmates, by cause of death and decedent characteristics, 2000–19",,,,,,,,,,,,
,,,Illness,,,,,,,,,
Characteristic,,All causes/a,Heart disease,AIDS-related/b,Cancer,Respiratory disease,Liver disease,All other illnesses/c,Suicide,Drug/alcohol intoxication,Accident,Homicide/d
,Total,"20,413","4,842",621,742,584,481,"2,991","6,217","1,742",515,469
Sex,,,,,,,,,,,,
,Male,"17,796","4,299",547,675,481,435,"2,429","5,627","1,365",464,462
,Female,"2,608",543,74,67,103,46,561,589,377,51,7
Race/ethnicity,,,,,,,,,,,,
,White/e,"11,279","2,351",111,338,281,261,"1,382","4,441","1,093",304,184
,Black/e,"5,986","1,954",426,298,220,103,"1,115",823,375,132,185
,Hispanic,"2,437",427,81,87,70,107,417,723,230,63,86
,American Indian/Alaska Native/e,259,46,1,6,8,6,27,120,26,5,4
,"Asian/e,f",192,39,2,11,2,3,30,74,8,9,7
,"Other/e,g",41,10,0,0,0,0,6,18,4,1,1
Age,,,,,,,,,,,,
,17 or younger,76,3,1,0,1,0,5,55,5,1,2
,18–24,"1,765",131,13,13,25,3,153,"1,008",187,51,84
,25–34,"4,224",485,105,47,82,28,465,"1,960",590,110,119
,35–44,"5,141","1,020",238,97,137,87,734,"1,779",529,140,96
,45–54,"5,175","1,588",201,231,163,233,926,"1,014",330,127,94
,55 or older,"3,842","1,609",60,354,174,129,704,390,98,85,71
Legal status,,,,,,,,,,,,
,Convicted/h,"4,946","1,429",161,224,173,141,793,"1,109",414,147,110
,Unconvicted/i,"15,219","3,390",455,516,406,340,"2,186","5,084","1,321",367,352
Offense,,,,,,,,,,,,
,Violent,"7,218","1,518",160,356,187,135,869,"2,982",322,144,212
,Property,"3,933",914,196,116,115,86,632,"1,153",331,91,86
,Drug,"3,206",798,138,104,114,80,569,640,480,79,52
,Public order/other/j,"5,088","1,402",112,145,139,166,779,"1,219",543,179,100
Note: Data may have been revised from previously published statistics. Details may not sum to totals due to missing data. See Methodology.,,,,,,,,,,,,
a/Includes other causes not specified and missing and unknown causes.,,,,,,,,,,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,
"c/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,
"d/Includes homicides committed by other inmates, incidental to the use of force by staff, and resulting from assaults sustained prior to incarceration.",,,,,,,,,,,,
"e/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,
"f/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,
g/Includes persons of two or more races and other races.,,,,,,,,,,,,
h/Includes persons who returned to jail on a probation or parole violation.,,,,,,,,,,,,
i/Includes persons in jail whose status was marked as other or was unspecified.,,,,,,,,,,,,
"j/Public order offenses include weapons offenses, DUI/DWI, court offenses, commercialized vice, and morals and decency offenses. Other offenses include holds and holds for other jurisdictions and probation and parole violations.",,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19.",,,,,,,,,,,,
