Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stt10.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 10. Average annual mortality rate per 100,000 local jail inmates, by cause of death and decedent characteristics, 2000–19",,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–18; Census of Jails, 2019; Mortality in Correctional Institutions, 2000–19; National Inmate Survey, 2007–09 and 2011–12; and Survey of Inmates in Local Jails, 2002",,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 10. Average annual mortality rate per 100,000 local jail inmates, by cause of death and decedent characteristics, 2000–19",,,,,,,,,,,,,,,,,,,,,,
,,,,Illness,,,,,,,,,,,,,,,,,,
Characteristic,,All causes/a,,Heart disease,,AIDS-related/b,,Cancer,,Respiratory disease,,Liver disease,,All other illnesses/c,,Suicide,Drug/alcohol intoxication,,Accident,,Homicide/d,
,Total,142,,34,,4,,5,,4,,3,,21,,43,12,,4,,3,
Sex,,,,,,,,,,,,,,,,,,,,,,
,Male,143,,35,,4,,5,,4,,4,,20,,45,11,,4,,4,
,Female,137,,29,,4,,4,,5,,2,,30,,31,20,,3,,<1, !
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,
,White/e,218,,45,,2,,7,,5,,5,,27,,86,21,,6,,4,
,Black/e,119,,39,,8,,6,,4,,2,,22,,16,7,,3,,4,
,Hispanic,84,,15,,3,,3,,2,,4,,14,,25,8,,2,,3,
,American Indian/Alaska Native/e,123,,22,,<1, !,3, !,4, !,3, !,13,,57,12,,2, !,2, !
,"Asian/e,f",134,,27,,1, !,8,,1, !,2, !,21,,52,6, !,6, !,5, !
,"Other/e,g",4,,1,,0,,0,,0,,0,,1, !,2,<1, !,<1, !,<1, !
Age,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,66,,3, !,<1, !,0,,<1, !,0,,4, !,48,4, !,<1, !,2, !
,18–24,46,,3,,<1,,<1,,<1,,<1, !,4,,26,5,,1,,2,
,25–34,89,,10,,2,,1,,2,,<1,,10,,41,12,,2,,3,
,35–44,157,,31,,7,,3,,4,,3,,22,,54,16,,4,,3,
,45–54,276,,85,,11,,12,,9,,12,,49,,54,18,,7,,5,
,55 or older,773,,324,,12,,71,,35,,26,,142,,79,20,,17,,14,
Legal status,,,,,,,,,,,,,,,,,,,,,,
,Convicted/h,91,,26,,3,,4,,3,,3,,15,,20,8,,3,,2,
,Unconvicted/i,171,,38,,5,,6,,5,,4,,25,,57,15,,4,,4,
Offense,,,,,,,,,,,,,,,,,,,,,,
,Violent,216,,46,,5,,11,,6,,4,,26,,89,10,,4,,6,
,Property,112,,26,,6,,3,,3,,2,,18,,33,9,,3,,2,
,Drug,92,,23,,4,,3,,3,,2,,16,,18,14,,2,,2,
,Public order/other/j,126,,35,,3,,4,,4,,4,,19,,30,14,,4,,3,
"Note: Mortality rates for 2001–2019 are based on the annual number of deaths and the average daily population (ADP). In 2000, the ADP was estimated by taking the average of January 1 and December 31 inmate population counts. Data may have been revised from previously published statistics. See Methodology.",,,,,,,,,,,,,,,,,,,,,,
! Interpret with caution. Estimate is based on 10 or fewer cases. See Interpreting rates among small populations in Methodology.,,,,,,,,,,,,,,,,,,,,,,
a/Includes other causes not specified and missing and unknown causes.,,,,,,,,,,,,,,,,,,,,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,,,,,,,,,,,
"c/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,,,,,,,,,,,
"d/Includes homicides committed by other inmates, incidental to the use of force by staff, and resulting from assaults sustained prior to incarceration.",,,,,,,,,,,,,,,,,,,,,,
"e/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,
"f/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,,
g/Includes persons of two or more races and other races.,,,,,,,,,,,,,,,,,,,,,,
h/Includes persons who returned to jail on a probation or parole violation.,,,,,,,,,,,,,,,,,,,,,,
i/Includes persons in jail whose status was marked as other or was unspecified.,,,,,,,,,,,,,,,,,,,,,,
"j/Public order offenses include weapons offenses, DUI/DWI, court offenses, commercialized vice, and morals and decency offenses. Other offenses include holds and holds for other jurisdictions and probation and parole violations.",,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–18; Census of Jails, 2019; Mortality in Correctional Institutions, 2000–19; National Inmate Survey, 2007–09 and 2011–12; and Survey of Inmates in Local Jails, 2002.",,,,,,,,,,,,,,,,,,,,,,
