Bureau of Justice Statistics,,,
Filename: mlj0019stt11.csv,,,
"Table 11. Cause of death of local jail inmates, by time served before death, 2000–19",,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19",,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of version: 12/1/2021,,,
,,,
"Table 11. Cause of death of local jail inmates, by time served before death, 2000–19",,,
Cause of death,,Number,Median time served (in days)/a
,Total,"20,413",17
Illness,,"10,261",33
,Heart disease,"4,842",25
,AIDS-related/b,621,82
,Cancer,742,138
,Respiratory disease,584,38
,Liver disease,481,43
,All other illnesses/c,"2,991",21
Suicide,,"6,217",9
Drug/alcohol intoxication,,"1,742",1
Accident,,515,11
Homicide/d,,469,30
Note: Details may not sum to totals due to missing data. See Methodology.,,,
a/The statistical median represents the value at which 50% of the values are larger and 50% are smaller in a sequence of numbers.,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,
"c/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses.",,,
"d/Includes homicides committed by other inmates, incidental to the use of force by staff, and resulting from assaults sustained prior to incarceration.",,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19.",,,
