Bureau of Justice Statistics,,,,,
Filename: mlj0019stt12.csv,,,,,
"Table 12. Offenses of decedents, by time served before death, 2000–19",,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19",,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of version: 12/1/2021,,,,,
,,,,,
"Table 12. Offenses of decedents, by time served before death, 2000–19",,,,,
Offense,,Number,Percent,,Median time served (in days)/a
,Total,"20,413",100,%,17
Violent,,"7,218",37.1,%,40
,Murder/b,"1,385",7.1,,137
,Kidnapping,374,1.9,,44
,Rape/sexual assault,"1,331",6.8,,77
,Robbery,752,3.9,,51
,Assault,"2,857",14.7,,16
,Other,519,2.7,,13
Property,,"3,933",20.2,%,15
,Burglary,995,5.1,,32
,Larceny/theft,"2,028",10.4,,11
,Motor vehicle theft,186,1,,12
,Arson,106,0.5,,45
,Fraud,618,3.2,,16
Drug,,"3,206",16.5,%,12
,Possession,"1,617",8.3,,8
,Trafficking,"1,149",5.9,,30
,Other/unknown,440,2.3,,6
Public order/other,,"5,088",26.2,%,7
,Weapons offense,233,1.2,,13
,Obstruction of justice,989,5.1,,7
,DUI/DWI,749,3.9,,5
,Traffic offense excluding DUI/DWI,527,2.7,,4
,Probation/parole violation and escape,"1,564",8,,12
,Other,"1,026",5.3,,5
Note: Details may not sum to totals due to missing data. See Methodology.,,,,,
a/The statistical median represents the value at which 50% of the values are larger and 50% are smaller in a sequence of numbers.,,,,,
b/Includes nonnegligent manslaughter.,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19.",,,,,
