Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stt13.csv,,,,,,,,,,,,,,,,,,,,,,,
"Table 13. Death location of local jail inmates, by cause of death, 2000–19",,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19",,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 13. Death location of local jail inmates, by cause of death, 2000–19",,,,,,,,,,,,,,,,,,,,,,,
,,,,Illness,,,,,,,,,,,,,,,,,,,
Location,,All causes,,Heart disease,,AIDS-related/a,,Cancer,,Respiratory disease,,Liver disease,,All other illnesses/b,,Suicide,,Drug/alcohol intoxication,,Accident,,Homicide/c,
,Total,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
General housing,,30.6,,28.6,,4.4,,3,,14.9,,9.4,,20,,46.1,,36.6,,17.3,,31.7,
Segregation unit,,10.7,,6.4,,1.9,,2,,4.1,,3.8,,6.6,,20.6,,9.4,,5.3,,5.2,
Medical unit/d,,49.7,,56.2,,89.8,,89.2,,73.2,,80,,65.5,,25.8,,41.1,,54.1,,48.9,
Mental health unit/e,,1.8,,1.7,,0.5,,1.8,,1.7,,0.8,,2.1,,1.9,,0.9,,2.5,,4.4,
In transit,,1.1,,1.6,,0.5,,0.3,,1,,0.2,,1.3,,0.5,,1.3,,3.5,,1.7,
Elsewhere,,6.1,,5.5,,2.9,,3.8,,5,,5.8,,4.4,,5.2,,10.7,,17.3,,8.1,
Note: Percentages presented are based on nonmissing data. Details may not sum to totals due to rounding. See Methodology.,,,,,,,,,,,,,,,,,,,,,,,
a/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,,,,,,,,,,,,
"c/Includes homicides committed by other inmates, incidental to the use of force by staff, and resulting from assaults sustained prior to incarceration.",,,,,,,,,,,,,,,,,,,,,,,
d/Includes the special medical unit within the jail facility and outside medical centers.,,,,,,,,,,,,,,,,,,,,,,,
e/Includes the special mental health services unit within the jail facility and outside mental health centers. Mental health unit classification was not collected prior to 2009.,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19.",,,,,,,,,,,,,,,,,,,,,,,
