Bureau of Justice Statistics,,,,
Filename: mlj0019stt14.csv,,,,
"Table 14. Number of deaths and mortality rate per 100,000 local jail inmates, by hold status, 2014–19",,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2014–19",,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 12/1/2021,,,,
,,,,
"Table 14. Number of deaths and mortality rate per 100,000 local jail inmates, by hold status, 2014–19",,,,
Hold status,,"Number of deaths, 2014–19","Sum of annual average daily populations, 2014–19","Mortality rate per 100,000 local jail inmates, by hold status, 2014–19"
,Total,"6,666","4,337,625",154
Hold status/a,,719,"748,495",96
,U.S. Immigration and Customs Enforcement,42,"89,467",47
,U.S. Marshals Service,156,"173,934",90
,Other/b,528,"485,093",109
No hold/unknown/c,,"5,947","3,589,130",166
"Note: Average daily population was calculated for U.S. Immigration and Customs Enforcement, the U.S. Marshals Service, and other authorities based on the proportion of the confined population on December 31.",,,,
"a/Includes contractual, temporary, courtesy, or ad hoc holds for federal, local, or state authorities. A jail inmate may have multiple hold statuses.",,,,
"b/Includes state or federal prison, the Bureau of Indian Affairs, or any other jail jurisdiction.",,,,
"c/Persons held in jail for local law enforcement and court officials, not on behalf of state or federal officials.",,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2014–19.",,,,
