Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stt19.csv,,,,,,,,,,,,,,,,,,,,,
"Table 19. Number of deaths of local jail inmates, by state, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 19. Number of deaths of local jail inmates, by state, 2000–2019",,,,,,,,,,,,,,,,,,,,,
State,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 ,Total,903,942,969,"1,001","1,021","1,045","1,094","1,099",959,961,918,888,960,987,"1,053","1,096","1,076","1,103","1,138","1,200"
Alabama,,24,27,21,15,23,23,34,21,19,20,28,18,18,19,21,24,23,18,23,30
Alaska*,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Arizona,,15,18,24,16,12,27,19,21,12,11,16,9,10,14,17,26,23,29,29,26
Arkansas,,9,13,14,22,13,7,11,10,15,5,7,16,10,15,17,13,11,11,18,11
California,,109,124,131,125,120,156,126,128,106,138,121,92,113,129,146,135,122,133,121,154
Colorado,,13,16,14,13,11,18,13,21,21,14,20,12,9,20,20,25,27,27,21,34
District of Columbia,,4,0,10,12,13,11,12,10,7,8,4,7,2,6,3,1,5,7,2,3
Florida,,82,98,79,85,86,79,99,103,77,88,57,66,69,68,83,83,82,98,104,117
Georgia,,38,39,49,45,54,41,46,44,55,45,48,46,47,47,42,40,48,45,46,59
Idaho,,3,3,1,2,1,7,5,7,1,6,3,5,4,6,6,3,4,4,7,8
Illinois,,31,21,22,30,41,25,37,31,29,29,23,21,23,33,30,29,28,24,20,30
Indiana,,21,21,14,23,18,16,26,18,11,16,22,21,19,18,27,21,19,26,20,35
Iowa,,2,4,3,1,4,4,3,5,2,6,3,8,4,9,6,6,12,3,3,5
Kansas,,9,9,12,10,15,11,10,7,12,11,10,10,11,17,10,14,19,11,17,14
Kentucky,,16,13,12,14,16,22,21,25,22,18,21,16,22,13,20,23,16,16,30,24
Louisiana,,10,22,22,32,41,31,26,31,34,22,26,20,42,37,38,35,35,46,44,29
Maine,,2,2,7,3,2,1,5,1,1,2,3,7,0,1,4,1,3,2,3,3
Maryland,,22,20,20,25,15,23,27,32,25,20,24,21,17,21,14,17,19,20,16,16
Massachusetts,,5,10,16,9,8,21,14,14,17,18,16,5,14,14,18,12,13,18,13,10
Michigan,,23,17,18,26,20,29,21,18,12,20,18,24,17,21,34,21,21,23,26,17
Minnesota,,6,8,6,9,9,8,11,8,4,3,10,6,7,5,9,8,10,14,9,8
Mississippi,,9,12,17,17,17,16,18,18,14,13,14,14,9,15,18,19,17,11,14,21
Missouri,,16,14,8,17,6,10,13,25,17,20,21,12,27,19,17,21,18,23,28,28
Montana,,3,1,5,5,3,6,1,2,2,6,3,8,3,5,2,6,3,4,6,4
