Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stt21.csv,,,,,,,,,,,,,,,,,,,,,
"Table 21. Number of local jail jurisdictions reporting to Mortality in Correctional Institutions, by state, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 21. Number of local jail jurisdictions reporting to Mortality in Correctional Institutions, by state, 2000–2019",,,,,,,,,,,,,,,,,,,,,
State,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013/a,2014,2015,2016,2017,2018,2019
,Total,"2,984","2,969","2,954","2,937","2,920","2,894","2,866","2,845","2,831","2,742","2,747","2,738","2,797","2,695","2,779","2,792","2,786","2,810","2,810","2,770"
Alabama,,151,149,147,146,145,142,136,132,125,115,117,115,122,116,122,123,125,125,125,124
Alaska/b,,15,15,15,14,14,15,15,15,15,14,15,15,15,15,14,15,15,15,15,15
Arizona,,16,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16
Arkansas,,85,84,84,83,82,83,81,81,81,76,71,73,77,66,75,73,71,72,71,72
California,,65,64,64,64,64,64,63,62,62,61,61,60,61,60,60,61,59,60,62,61
Colorado,,55,55,55,55,55,55,53,53,53,53,52,50,52,54,54,54,55,55,56,55
District of Columbia,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Florida,,68,68,68,68,67,67,67,67,67,65,66,66,67,64,67,67,67,67,66,65
Georgia,,176,174,174,172,170,167,164,162,159,151,152,153,157,144,152,153,148,147,147,149
Idaho,,39,38,38,38,38,38,38,37,37,35,34,34,35,36,36,36,36,36,35,36
Illinois,,90,89,90,90,89,90,90,90,90,90,90,88,90,89,87,91,91,87,90,91
Indiana,,90,91,90,90,90,90,90,90,90,89,89,90,90,88,90,90,91,90,91,91
Iowa,,94,93,93,93,93,93,93,93,93,92,90,93,93,92,92,96,95,95,94,92
Kansas,,95,95,95,95,95,95,94,94,93,90,92,90,93,95,94,95,96,94,95,91
Kentucky,,80,78,80,79,79,76,74,74,74,70,72,73,75,74,76,75,77,76,75,73
Louisiana,,87,86,85,85,85,83,83,83,84,79,82,75,83,76,81,82,80,82,89,87
Maine,,15,15,15,15,15,15,15,14,14,14,11,12,12,11,12,12,12,12,13,14
Maryland,,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,23,24,23,24
Massachusetts,,13,13,13,13,13,13,13,13,13,13,13,13,13,11,12,13,13,13,12,12
Michigan,,83,83,82,82,82,82,81,81,81,81,81,80,81,79,80,78,80,80,77,78
Minnesota,,71,71,71,71,71,71,71,71,70,69,71,70,71,77,78,77,77,77,77,77
Mississippi,,91,90,89,88,88,85,84,84,83,80,77,77,83,67,78,82,82,75,79,76
Missouri,,124,124,124,123,119,118,119,118,118,110,113,113,114,107,110,109,110,113,108,106
Montana,,41,41,40,40,41,40,40,40,40,36,38,37,37,35,36,36,36,36,36,34
Nebraska,,64,63,63,63,63,63,62,62,62,61,61,60,61,60,61,62,61,61,62,59
Nevada,,20,20,20,20,20,20,20,20,20,20,20,20,20,18,18,19,19,19,19,18
New Hampshire,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
New Jersey,,21,21,21,21,21,21,21,21,21,20,21,21,21,21,20,20,19,18,18,18
New Mexico,,34,35,35,34,34,32,32,32,32,29,29,31,31,31,32,31,31,30,29,31
New York,,58,58,58,58,58,58,58,58,58,57,57,58,56,55,54,56,53,53,55,56
North Carolina,,96,96,96,96,94,94,94,94,93,89,92,93,93,90,92,91,93,93,93,90
North Dakota,,23,23,23,23,23,23,22,21,21,22,22,22,22,22,23,23,23,24,22,22
Ohio,,97,96,96,93,93,93,92,91,91,91,90,93,93,98,98,97,97,131,128,125
Oklahoma,,100,100,100,99,98,96,94,93,93,88,90,88,89,79,90,88,90,88,91,90
Oregon,,33,33,33,33,33,32,32,32,32,31,31,30,31,32,34,34,34,34,36,36
Pennsylvania,,63,63,63,63,63,63,63,63,63,63,63,63,63,60,62,61,60,61,62,62
South Carolina,,46,46,46,45,45,45,45,45,45,45,42,44,45,44,45,45,44,45,45,44
South Dakota,,28,29,29,29,29,28,28,28,28,26,27,25,27,27,26,27,25,26,26,25
Tennessee,,97,97,96,96,96,96,95,94,94,89,88,88,94,89,93,92,93,94,92,90
Texas,,248,247,246,245,242,242,242,237,236,230,227,226,232,223,228,233,233,231,230,220
Utah,,26,26,26,26,26,26,26,26,26,26,26,25,26,24,26,25,26,26,25,25
Virginia,,73,72,72,72,72,69,66,64,64,65,66,66,63,59,62,59,59,59,58,57
Washington,,58,58,58,57,57,56,56,56,56,56,55,55,55,55,55,56,56,55,53,51
West Virginia,,28,28,19,18,16,13,12,12,12,11,11,10,11,11,11,11,11,11,11,11
Wisconsin,,70,70,70,70,70,70,70,70,70,69,70,70,70,68,69,71,71,71,71,69
Wyoming,,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,22,22,22,21,21
"Note: Data may have been revised from previously published statistics. Connecticut, Delaware, Hawaii, Rhode Island, and Vermont each operate a combined prison and jail system. For data on these states, see Mortality in State and Federal Prisons, 2001–2019 – Statistical Tables (NCJ 300953, BJS, December 2021). See Methodology.",,,,,,,,,,,,,,,,,,,,,
"a/In 2013, the response rate for Mortality in Correctional Institutions decreased to 94.2% due to a lengthened data collection form. The response rate was 99.7% in 2012.",,,,,,,,,,,,,,,,,,,,,
b/Prisons and jails form one integrated system. Counts include only data for 15 locally operated jails and exclude data for state-operated prisons and jails.,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019.",,,,,,,,,,,,,,,,,,,,,
