Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0019stt22.csv,,,,,,,,,,,,,,,,,,,,,
"Table 22. Number of local jail jurisdictions reporting one or more deaths to Mortality in Correctional Institutions, by state, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000–2019 – Statistical Tables   NCJ 301368",,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2019",,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 22. Number of local jail jurisdictions reporting one or more deaths to Mortality in Correctional Institutions, by state, 2000–2019",,,,,,,,,,,,,,,,,,,,,
State,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Total,434,484,484,510,518,522,539,533,502,503,502,521,539,545,580,591,573,579,613,636
Alabama,,15,22,20,14,16,22,25,16,15,17,24,16,17,18,19,20,18,16,17,17
Alaska*,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Arizona,,5,5,7,4,4,7,5,5,5,5,6,4,3,4,6,6,7,9,9,9
Arkansas,,7,10,10,16,11,4,10,7,11,4,6,13,8,11,10,9,10,9,12,10
California,,30,32,29,35,32,34,27,31,30,33,28,28,29,36,38,37,32,31,32,38
Colorado,,6,7,11,6,9,12,10,11,13,6,11,7,7,12,17,10,14,16,11,19
District of Columbia,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Florida,,23,30,27,27,31,29,30,33,25,31,23,28,27,32,30,33,35,28,35,34
Georgia,,24,28,33,31,29,33,29,33,29,27,30,30,35,30,27,26,29,30,24,37
Idaho,,3,2,1,2,1,7,5,7,1,6,2,4,4,6,5,3,3,4,6,5
Illinois,,7,6,11,20,14,11,13,15,13,9,12,14,15,12,15,15,17,11,16,15
Indiana,,11,17,11,15,15,14,19,12,10,11,15,16,15,14,18,15,14,19,15,20
Iowa,,2,4,3,1,3,4,3,5,2,5,3,7,4,7,6,6,10,3,2,4
Kansas,,8,9,10,9,10,11,7,6,11,7,6,9,8,11,9,8,12,9,13,10
Kentucky,,11,10,9,13,14,12,15,17,15,16,19,15,16,10,15,17,15,16,20,21
Louisiana,,5,15,15,16,24,15,17,16,24,16,16,13,25,23,24,24,24,25,24,18
Maine,,2,2,5,3,1,1,5,1,1,2,3,5,0,1,4,1,3,2,3,3
Maryland,,7,9,3,10,6,9,11,6,7,10,9,11,9,9,8,10,10,9,10,11
Massachusetts,,3,6,7,5,5,8,8,7,8,9,8,3,5,7,10,5,5,8,6,7
Michigan,,12,8,13,18,15,17,15,14,12,10,12,13,12,12,17,12,13,15,12,13
Minnesota,,5,8,6,8,7,6,9,6,4,2,8,6,5,5,7,8,10,10,7,7
Mississippi,,8,11,12,15,15,13,15,13,13,11,11,12,8,10,16,18,15,8,12,14
Missouri,,10,10,7,14,6,9,10,17,12,16,19,10,20,15,15,16,10,18,19,21
